,movie,character,text
188,3,YODA, To a dark place this line of thought will carry us. Hmmmmm. . . . great care we must take.
189,3,narrator,CLONES in modified one-man AT-ST's and Swamp Speeders flash their searchlights across the gloomy lake. The light of one of the AT-ST's spots something floating in the water. It is what's left of a Wookiee catamaran. The body of a dead Wookiee (TARFFUL) is lying across the stern of the wreckage of the flying boat. There is some movement on the boat. The CLONE SERGEANT on the AT-ST fires a warning shot past the boat.
190,3,AT-ST CLONE SERGEANT, Everyone out of there!
191,3,narrator,A CRAZY LITTLE CREATURE about two feet high pops its head over the rail. The creature is covered with mud. His long hair is frizzed out in all directions.
192,3,CREATURE, Wookiee good . . . eat Wookiee. (crazy little laugh)
193,3,CLONE SERGEANT, Did you find something?
194,3,CREATURE," It's nothing, nothing. (laughs)"
195,3,CLONE SERGEANT," It's nothing, nothing. All these Wookiees are dead. Move to the east."
196,3,CLONE TROOPER," Yes, sir."
197,3,narrator,"Suddenly, CHEWBACCA climbs up behind the AT-ST CLONE, dripping wet, and throws the CLONE SERGEANT into the water. CHEWIE BARKS."
198,3,CREATURE," Right you are, Chewbacca. Faster that will be."
199,3,narrator,"TARFFUL jumps up in the boat, and the CREATURE takes off his hair. It is Yoda."
200,3,YODA," Stink, this mud does. A moment to bathe, give me."
201,3,narrator,"YODA, covered with mud, jumps into the water. TARFFUL climbs onto the AT-ST with CHEWBACCA. YODA is out of the water and putting his robes back on."
202,3,YODA," (continuing) Not far, are we, from the emergency ship. Quickly . . ."
203,3,narrator,YODA whistles and a large ALIEN FLYING INSECT called CAN-CELL appears. YODA jumps on the insect's back and they take off. The WOOKIEES follow on the AT-ST. The CLONES continue to search the swamp.
204,3,narrator,"The AT-ST marches up the hill and stops. The WOOKIEES jump down. YODA lands on CAN-CELL nearby. CHEWBACCA goes to a tree and pulls down one of its branches. The ground opens up, and a small WOOKIEE ESCAPE POD rises into the field. YODA opens the door of the pod."
205,3,YODA," Good-bye. Chewbacca and Tarfful, miss you I will. Good friends you are. For your help, much gratitude and respect, I have."
206,3,narrator,The Wookiees BARK as the Jedi climbs into the WOOKIEE POD and takes off into the dusk sky.
207,3,narrator,The door to the main hallway slides open. OBI-WAN enters and is greeted by YODA and BAIL ORGANA. The three walk down the hallway.
208,3,BAIL ORGANA, You made it.
209,3,YODA," Master Kenobi, dark times are these. Good to see you. it is."
210,3,OBI-WAN," You were attacked by your Clones, also?"
211,3,YODA," With the help of the Wookiees, barely escape, I did."
212,3,OBI-WAN, How many other Jedi managed to survive?
213,3,YODA," Heard from no one, have we."
214,3,BAIL ORGANA, I saw thousands of troops attack the Jedi Temple. That's why I went looking for Yoda.
215,3,OBI-WAN, Have we had any contact from the Temple?
216,3,YODA," Received a coded retreat message, we have."
217,3,BAIL ORGANA, It requests all Jedi to return to the Temple. It says that the war is over . . .
218,3,OBI-WAN," Well, then we must go back! If there are other stragglers, they will fall into the trap and be killed."
219,3,BAIL ORGANA, It's too dangerous to return.
220,3,YODA," Suggest dismantling the coded signal, do you?"
221,3,OBI-WAN," Yes, Master. There is too much at stake here, and we need a clearer picture of what has happened."
222,3,YODA, I agree. In a dark place we find ourselves ... a little more knowledge might light our way.
223,3,narrator,"The Republic Cruiser heads toward Coruscant. OBI-WAN, BAIL, YODA, and TWO PILOTS sit in the cockpit."
224,3,PILOT," We are receiving a message from the Chancellor's office, sir."
225,3,BAIL ORGANA, Send it through.
226,3,PILOT," Yes, sir."
227,3,narrator,The PILOT pushes some buttons. MAS AMEDDA appears on screen.
228,3,MAS AMEDDA, Senator Organa . . . the Supreme Chancellor of the Republic requests your presence at a special session of Congress.
229,3,BAIL ORGANA, Tell the Chancellor I will be there.
230,3,MAS AMEDDA, Very well. He will be expecting you.
231,3,narrator,MAS AMEDDA's image disappears from the screen.
232,3,BAIL ORGANA, It could be a trap.
233,3,OBI-WAN," No, I don't think so. The Chancellor will not be able to control the thousands of star systems without keeping the Senate intact."
234,3,YODA," If a special session of Congress there is, easier for us to enter the Jedi Temple it will be."
235,3,narrator,"A DOZEN CLONE TROOPERS stand guard at the entrance of the Jedi Temple. Suddenly there is a flash of a lightsaber, a flurry of confusion, and all of the Clone Troopers are dead on the floor. YODA and OBI-WAN stand in the middle of the carnage."
236,3,OBI-WAN, There are several battalions of Clone Troopers on every level. Many are dressed as Jedi.
237,3,YODA," Dismantle the coded signal quickly. That group back there, soon discovered will be."
238,3,narrator,"YODA and OBI-WAN make their way through the Temple, avoiding the HUNDREDS OF CLONE TROOPERS. They use the Force to distract the CLONES when they can. YODA and OBI-WAN walk through the ruins of the Temple until they come across the bodies of some students."
239,3,OBI-WAN, Not even the younglings survived.
240,3,YODA," Killed not by clones, this Padawan. By a lightsaber, he was."
241,3,OBI-WAN, . . .Who?? Who could have done this?
242,3,narrator,"OBI-WAN stands in a large computer area as YODA looks on, in the hatchway to the Main Control Center."
243,3,OBI-WAN, I've recalibrated the code warning all surviving Jedi to stay away.
244,3,YODA," Good . . . For the Clones to discover the recalibration, a long time it will take. To change it back, longer still. Hurry."
245,3,narrator,OBI-WAN enters the Main Control Center with YODA and heads for the hologram area.
246,3,OBI-WAN," Wait, Master. There is something I must know . . ."
247,3,YODA," If into the security recordings you go, only pain will you find."
248,3,OBI-WAN," I must know the truth, Master."
249,3,narrator,"OBI-WAN moves to a panel and flips some switches. He sees a HOLOGRAM of ANAKIN slaughtering JEDI, including the YOUNG ONES. OBI-WAN and YODA react."
250,3,OBI-WAN, (continuing) It can't be . . . It can't be . . .
251,3,narrator,"As ANAKIN surveys the carnage, a DARK-ROBED SITH LORD enters. ANAKIN turns to DARTH SIDIOUS and kneels before him."
252,3,ANAKIN," The traitors have been taken care of, Lord Sidious."
253,3,DARTH SlDIOUS," Good . . . good . . . You have done well, my new apprentice. Do you feel your power growing?"
254,3,ANAKIN," Yes, My Master."
255,3,DARTH SlDIOUS," Now, Lord Vader, now go and bring peace to the Empire."
256,3,narrator,OBI-WAN watches in horror. Tears well up in his eyes.
257,3,OBI-WAN, I can't watch any more.
258,3,narrator,OBI-WAN switches off the hologram. The TWO JEDI stand in silence for a few moments.
259,3,YODA," Destroy the Sith, we must."
260,3,OBI-WAN, Send me to kill the Emperor. I will not kill Anakin.
261,3,YODA," To fight this Lord Sidious, strong enough, you are not."
262,3,OBI-WAN, He is like my brother ... I cannot do it.
263,3,YODA," Twisted by the dark side, young Skywalker has become. The boy you trained, gone he is . . . Consumed by Darth Vader."
264,3,OBI-WAN, How could it have come to this?
265,3,YODA," To question, no time there is."
266,3,OBI-WAN, I do not know where the Emperor has sent him. I don't know where to look.
267,3,YODA," Use your feelings, Obi-Wan, and find him, you will. Visit the new Emperor, my task is. May the Force be with you."
268,3,OBI-WAN," May the Force be with you, Master Yoda."
269,3,narrator,"YODA enters, using the Force to throw two RED GUARDS against the wall, knocking them unconscious. DARTH SIDIOUS turns his chair toward YODA. MAS AMEDDA stands behind SIDIOUS's desk."
270,3,YODA," I hear a new apprentice, you have. Emperor, or should I call you Darth Sidious."
271,3,DARTH SlDIOUS," Master Yoda, you survived."
272,3,YODA, Surprised?
273,3,DARTH SlDIOUS," Your arrogance blinds you, Master Yoda. Now you will experience the full power of the dark side."
274,3,narrator,"The Dark Lord raises his arms, and LIGHTNING BOLTS shoot out, surrounding YODA. YODA is picked up and thrown across the room, hitting the wall and sliding down in a crumpled heap. DARTH SIDIOUS chuckles."
275,3,narrator,MAS AMEDDA leaves the room. PALPATINE approaches a stunned YODA.
276,3,DARTH SlDIOUS," I have waited a long time for this moment, my little green friend. At last, the Jedi are no more."
277,3,YODA," Not if anything I have to say about it, Lord Sidious."
278,3,narrator,"YODA uses the Force to throw DARTH SIDIOUS back, knocking him clear over his desk and onto the floor in a heap."
279,3,YODA," (continuing) At an end your rule is and not short enough it was, I must say."
280,3,narrator,"DARTH SIDIOUS flies through the air, cape flapping, heading toward the exit. At the last second, YODA flies into the exit and stops the Dark Lord."
281,3,YODA," (continuing) If so powerful you are, why leave??"
282,3,narrator,YODA ignites his lightsaber.
283,3,DARTH SlDIOUS, You will not stop me. Darth Vader will become more powerful than either of us.
284,3,narrator,DARTH SIDIOUS ignites his lightsaber.
285,3,YODA," Faith in your new apprentice, misplaced may be, as is your faith in the dark side of the Force."
286,3,narrator,Their swords CLASH. The battle is extremely fast and furious.
287,3,narrator,"YODA unleashes a ferocious assault on PALPATINE, causing him to almost go over the edge. The Dark Lord drops his lightsaber but recovers with a BLAST OF ENERGY from his hands that surrounds YODA. YODA is deflecting the Sith Lord's lightning bolts. The energy bolts begin to arc back on the Emperor. It looks as if the Dark Lord is doomed."
288,3,YODA," Destroy you I will, just as Master Kenobi, your apprentice will destroy."
289,3,narrator,"YODA jumps to a lower Senate Pod. PALPATINE reaches out with one hand, and a Senate pod is released from its mooring and heads toward the Podium. PALPATINE uses the Force to hurl pod after pod at YODA, who ducks and jumps from one flying pod to another. YODA leaps away from the pods. He uses the Force to hold one pod suspended in the air. The pod spins and YODA throws it back at PALPATINE, who leaps away at the last moment. YODA leaps after him, but PALPATINE quickly turns and aims the full force of his energy bolts at the tiny green Jedi, catching him in mid-air and throwing him back hard against the Podium. The force causes YODA to drop his lightsaber. YODA blocks the lightning and throws PALPATINE backwards off the podium. YODA is knocked off the Podium and falls several hundred feet to the base of the Podium. PALPATINE follows in his pod, searching for YODA."
290,3,narrator,YODA squishes his way through a mass of wires in a small chute. He talks on his comlink.
291,3,YODA, Hurry. Careful timing we will need.
292,3,BAIL ORGANA, (in speeder) There aren't many troops on this side. Activate your homing beacon when you're ready.
293,3,narrator,YODA straightens himself out.
294,3,YODA," Into exile I must go. Failed, I have."
295,3,narrator,YODA and BAIL fly into the traffic of the city.
296,3,narrator,"On the isolated asteroid of Polis Massa, YODA meditates."
297,3,YODA," Failed to stop the Sith Lord, I have. Still much to learn, there is ..."
298,3,QUI -GON," (V.O.) Patience. You will have time. I did not. When I became one with the Force I made a great discovery. With my training, you will be able to merge with the Force at will. Your physical self will fade away, but you will still retain your consciousness. You will become more powerful than any Sith."
299,3,YODA, Eternal consciousness.
300,3,QUI-GON," (V.O.) The ability to defy oblivion can be achieved, but only for oneself. It was accomplished by a Shaman of the Whills. It is a state acquired through compassion, not greed."
301,3,YODA," . . . to become one with the Force, and influence still have . . . A power greater than all, it is."
302,3,QUI-GON," (V.O.) You will learn to let go of everything. No attachment, no thought of self. No physical self."
303,3,YODA," A great Jedi Master, you have become, Qui-Gon Jinn. Your apprentice I gratefully become."
304,3,narrator,"YODA thinks about this for a minute, then BAIL ORGANA enters the room and breaks his meditation."
305,3,BAIL ORGANA," Excuse me, Master Yoda. Obi-Wan Kenobi has made contact."
306,3,narrator,"POLIS MEDICS work, on PADME in an operating theater. OBI-WAN and one of the MEDICAL DROIDS enter an observation room where BAIL and YODA are waiting."
307,3,MEDICAL DROID," Medically, she is completely healthy. For reasons we can't explain, we are losing her."
308,3,OBI-WAN, She's dying?
309,3,MEDICAL DROID, We don't know why. She has lost the will to live. We need to operate quickly if we are to save the babies.
310,3,BAIL ORGANA, Babies??!!
311,3,MEDICAL DROID, She's carrying twins.
312,3,YODA," Save them, we must. They are our last hope."
313,3,narrator,"The MEDICAL DROID rushes back to the operating room. ARTOO and THREEPIO watch, greatly puzzled. ARTOO BEEPS."
314,3,C-3PO," It s some kind of reproductive process, I think."
315,3,narrator,"BAIL ORGANA, YODA, and OBI-WAN sit around a conference table."
316,3,YODA," Pregnant, she must still appear. Hidden, safe, the children must be kept."
317,3,OBI-WAN, We must take them somewhere the Sith will not sense their presence.
318,3,YODA," Split up, they should be."
319,3,BAIL ORGANA, My wife and I will take the girl. We've always talked of adopting a baby girl. She will be loved with us.
320,3,OBI-WAN, And what of the boy?
321,3,YODA," To Tatooine. To his family, send him."
322,3,OBI-WAN," I will take the child and watch over him. Master Yoda, do you think Anakin's twins will be able to defeat Darth Sidious?"
323,3,YODA," Strong the Force runs, in the Skywalker line. Hope, we can . . . Done, it is. Until the time is right, disappear we will."
324,3,narrator,BAIL leaves the conference room. YODA stops OBI-WAN.
325,3,YODA," (continuing) Master Kenobi, wait a moment. In your solitude on Tatooine, training I have for you."
326,3,OBI-WAN, Training??
327,3,YODA, An old friend has learned the path to immortality.
328,3,OBI-WAN, Who?
329,3,YODA," One who has returned from the netherworld of the Force to train me . . . your old Master, Qui-Gon Jinn."
330,3,OBI-WAN," Qui-Gon? But, how could he accomplish this?"
331,3,YODA," The secret of the Ancient Order of the Whills, he studied. How to commune with him. I will teach you."
332,3,OBI-WAN, I will be able to talk with him?
333,3,YODA," How to join the Force, he will train you. Your consciousness you will retain, when one with the Force. Even your physical self, perhaps."
334,6,,"The tip of a walking stick taps hesitantly across the earthen floor of  the cottage. Our view travels up the stick to the small green hand that  clutches it, and then to the familiar face of YODA, THE JEDI MASTER.  His manner is frail, and his voice, though cheerful, seems weaker."
335,6,YODA,Hmm. That face you make. Look I so old to young eyes?
336,6,narrator,"Luke is sitting in a corner of the cramped space and, indeed, his look  has been woeful. Caught, he tries to hide it."
337,6,LUKE,No... of course not.
338,6,"YODA	 (tickled, chuckles)","I do, yes, I do!  Sick have I become. Old and weak. "
339,6,narrator,"(Points a crooked finger) When nine hundred years old you reach, look as good you will not. Hmm? Yoda chuckles at this, coughs, and hobbles over toward his bed."
340,6,YODA,"Soon will I rest. Yes, forever sleep. Earned it, I have."
341,6,narrator,"Yoda sits himself on his bed, with great effort."
342,6,LUKE,"Master Yoda, you can't die."
343,6,YODA,Strong am I with the Force... but not that strong! Twilight is upon me 
344,6,narrator,and soon night must fall. That is the way of things... the way of the  Force.
345,6,LUKE,But I need your help. I've come back to complete the training.
346,6,YODA,No more training do you require. Already know you that which you need.
347,6,narrator,"Yoda sighs, and lies back on his bed."
348,6,LUKE,Then I am a Jedi?
349,6,YODA	 (shakes his head),"Ohhh. Not yet. One thing remains: Vader. You must confront Vader. Then, "
350,6,narrator,"only then, a Jedi will you be. And confront him you will. Luke is in agony. He is silent for a long moment, screwing up his  courage. Finally he is able to ask."
351,6,LUKE,Master Yoda... is Darth Vader my father?
352,6,narrator,"Yoda's eyes are full of weariness and compassion. An odd, sad smile  creases his face. He turns painfully on his side, away from Luke."
353,6,YODA,Mmm... rest I need. Yes... rest.
354,6,narrator,"Luke watches him, each moment an eternity."
355,6,LUKE,"Yoda, I must know."
356,6,YODA,Your father he is.
357,6,narrator,Luke reacts as if cut.
358,6,YODA,"Told you, did he?"
359,6,LUKE,Yes.
360,6,narrator,A new look of concern crosses Yoda's face.  He closes his eyes.
361,6,YODA,"Unexpected this is, and unfortunate..."
